Order_ID,Order_Date,Customer_Name,Segment,Region,State,Category,Sub_Category,Sales,Quantity,Discount,Profit
797789,2023-06-09,Amit,Corporate,East,Karnataka,Furniture,Phone,37108.2452930651,2,0.20352024552603765,6470.186356426126
952681,2022-01-12,Neha,Corporate,South,Karnataka,Clothing,Chair,13293.796133218333,1,0.18602303710135099,19525.246553775443
960986,2023-01-27,,Corporate,West,Tamil Nadu,Electronics,Phone,26407.232196908983,1,0.006997945344322853,16074.897970021917
208944,2023-02-01,Priya,Home Office,East,Gujarat,Clothing,Chair,14021.706497719644,5,0.06813386874151817,11096.374652494496
827773,2022-10-30,Vishal,Consumer,East,Tamil Nadu,Furniture,Chair,7449.783381065808,7,0.35934504806118306,-1390.9204780704158
737144,2023-10-05,,Consumer,South,Delhi,Clothing,Phone,49876.98386203881,7,0.0323627419367431,19365.831029379242
716036,2023-04-09,Sneha,Consumer,North,Karnataka,Furniture,Shoes,26688.449777444806,2,0.03933321097842357,17064.375350912655
302283,2023-09-21,Priya,Home Office,South,Gujarat,Electronics,Chair,3163.6858369760503,9,0.18647211137487635,291.8630785300593
923628,2022-04-13,Sneha,Home Office,East,Delhi,Furniture,Phone,11685.210582345038,6,0.45460754278037746,10702.637787056528
479179,2023-02-16,Amit,Corporate,North,Maharashtra,Electronics,Laptop,6999.75101753922,3,0.4897224008350163,7275.860196077696
509664,2022-07-21,Amit,Consumer,South,Tamil Nadu,Clothing,Table,42335.52915324993,8,0.278477387018021,-1799.1262569741912
449345,2023-04-24,Priya,Home Office,West,Delhi,Electronics,Table,49258.742743222305,4,0.35663052167995857,18444.745940989793
408449,2022-11-04,Rahul,Corporate,South,Karnataka,Clothing,Table,46765.71540896844,1,0.43273471374120026,8720.803556222929
753525,2022-05-04,Priya,Corporate,North,Maharashtra,Electronics,Laptop,47538.66675389158,6,0.3827347339963131,18788.642001190234
346553,2022-03-03,Amit,Home Office,North,Delhi,Clothing,Laptop,26370.805744180103,6,0.19946584398816636,15898.510596615331
716070,2023-11-24,Neha,Home Office,West,Karnataka,Electronics,Shoes,6338.017033465297,8,0.2140410129963921,5554.8515499993355
671224,2022-08-11,Sneha,Consumer,South,Tamil Nadu,Furniture,Chair,20296.978852755605,5,0.020972151815065232,-2792.7327178653827
183123,2022-10-17,Sneha,Consumer,North,Maharashtra,Clothing,Chair,42985.2352062639,4,0.37845672632146504,737.8803228998631
390515,2023-07-07,Priya,Home Office,South,Karnataka,Clothing,Laptop,36618.189684851066,4,0.2707891912726533,-864.569508133668
323165,2022-11-05,Rahul,Corporate,North,Delhi,Electronics,Table,8270.294999366817,5,0.19773942492385332,1578.6739673205811
